	PCA_FCR_1_0.9_10	PCA_FCR_2_0.9_10	PCA_FCR_3_0.9_10	PCA_FCR_4_0.9_10	PCA_FCR_5_0.9_10	PCA_FCR_1_0.9_20	PCA_FCR_2_0.9_20	PCA_FCR_3_0.9_20	PCA_FCR_4_0.9_20	PCA_FCR_5_0.9_20	PCA_FCR_6_0.9_20	PCA_FCR_7_0.9_20	PCA_FCR_8_0.9_20	PCA_FCR_9_0.9_20	PCA_FCR_1_0.9_30	PCA_FCR_2_0.9_30	PCA_FCR_3_0.9_30	PCA_FCR_4_0.9_30	PCA_FCR_5_0.9_30	PCA_FCR_6_0.9_30	PCA_FCR_7_0.9_30	PCA_FCR_8_0.9_30	PCA_FCR_9_0.9_30	PCA_FCR_10_0.9_30	PCA_FCR_11_0.9_30	PCA_FCR_1_0.9_40	PCA_FCR_2_0.9_40	PCA_FCR_3_0.9_40	PCA_FCR_4_0.9_40	PCA_FCR_5_0.9_40	PCA_FCR_6_0.9_40	PCA_FCR_7_0.9_40	PCA_FCR_8_0.9_40	PCA_FCR_9_0.9_40	PCA_FCR_10_0.9_40	PCA_FCR_11_0.9_40	PCA_FCR_1_0.9_50	PCA_FCR_2_0.9_50	PCA_FCR_3_0.9_50	PCA_FCR_4_0.9_50	PCA_FCR_5_0.9_50	PCA_FCR_6_0.9_50	PCA_FCR_7_0.9_50	PCA_FCR_8_0.9_50	PCA_FCR_9_0.9_50	PCA_FCR_10_0.9_50	PCA_FCR_11_0.9_50	PCA_FCR_12_0.9_50	PCA_FCR_1_0.9_60	PCA_FCR_2_0.9_60	PCA_FCR_3_0.9_60	PCA_FCR_4_0.9_60	PCA_FCR_5_0.9_60	PCA_FCR_6_0.9_60	PCA_FCR_7_0.9_60	PCA_FCR_8_0.9_60	PCA_FCR_9_0.9_60	PCA_FCR_10_0.9_60	PCA_FCR_11_0.9_60	PCA_FCR_12_0.9_60	PCA_FCR_1_0.9_70	PCA_FCR_2_0.9_70	PCA_FCR_3_0.9_70	PCA_FCR_4_0.9_70	PCA_FCR_5_0.9_70	PCA_FCR_6_0.9_70	PCA_FCR_7_0.9_70	PCA_FCR_8_0.9_70	PCA_FCR_9_0.9_70	PCA_FCR_10_0.9_70	PCA_FCR_11_0.9_70	PCA_FCR_12_0.9_70	PCA_FCR_1_0.9_80	PCA_FCR_2_0.9_80	PCA_FCR_3_0.9_80	PCA_FCR_4_0.9_80	PCA_FCR_5_0.9_80	PCA_FCR_6_0.9_80	PCA_FCR_7_0.9_80	PCA_FCR_8_0.9_80	PCA_FCR_9_0.9_80	PCA_FCR_10_0.9_80	PCA_FCR_11_0.9_80	PCA_FCR_12_0.9_80	PCA_FCR_1_0.9_90	PCA_FCR_2_0.9_90	PCA_FCR_3_0.9_90	PCA_FCR_4_0.9_90	PCA_FCR_5_0.9_90	PCA_FCR_6_0.9_90	PCA_FCR_7_0.9_90	PCA_FCR_8_0.9_90	PCA_FCR_9_0.9_90	PCA_FCR_10_0.9_90	PCA_FCR_11_0.9_90	PCA_FCR_12_0.9_90	PCA_FCR_1_0.9_100	PCA_FCR_2_0.9_100	PCA_FCR_3_0.9_100	PCA_FCR_4_0.9_100	PCA_FCR_5_0.9_100	PCA_FCR_6_0.9_100	PCA_FCR_7_0.9_100	PCA_FCR_8_0.9_100	PCA_FCR_9_0.9_100	PCA_FCR_10_0.9_100	PCA_FCR_11_0.9_100	PCA_FCR_12_0.9_100	FCR_0.9_mean	FCR_0.9_median	FCR_0.9_std	FCR_0.9_cv	FCR_0.9_range	FCR_0.9_iqr	FCR_0.9_kurtosis	FCR_0.9_skewness
adziC0740000000X1	-0.112711100747272	0.5979358892641096	0.0323367657148443	0.0769801405161315	-0.008056982367571	0.0202682796395084	-0.5395641028156586	0.0261626557343256	0.1861817891281303	0.09073375173592	0.1029719413931421	-0.1313280558868644	0.1375722010819666	0.1416046528765097	-0.0988078505115527	-0.5048889679847388	0.0674509621363979	0.3250534889924766	0.0264966864714626	-0.1288506997512485	-0.0534192554726227	0.1265513869805099	0.091757200367343	0.0760345202061355	-0.0772168340415821	-0.13193650064687	-0.4881814130140773	-0.1822566557888043	0.3137202918423987	0.0581257634578203	0.1114134045039753	-0.1684251985636073	0.1532808679533503	0.1155282915373379	0.0705125960470932	-0.1184595097730756	-0.1246876667380658	-0.5596582955213008	-0.1394093041229939	0.3661557765565689	0.0440297309827277	0.1354265733976977	-0.1593721080634536	0.1719505614832729	0.1213382701643925	0.1065747809567574	-0.1213907056397223	-0.102764701338765	-0.1484499139409847	-0.5895153188100642	-0.1169660712494607	0.4320854886141017	-0.0028642063406515	0.165979951567594	-0.1619072679059125	0.1996583329839609	0.1231111045604608	0.1193431278733258	-0.1230929958594062	-0.117308223042399	-0.1752413247531596	-0.6440301364313209	-0.2065319145579405	0.4401956028741253	0.0405300291052646	0.1508126026608429	-0.1999581785881277	0.1930087868379169	0.1636774586713894	0.0979593819181626	-0.1508851197470261	-0.1194198633606992	-0.1930905039118262	-0.7067890454420237	-0.2193525020882263	0.4510870666943578	0.0583610864207717	-0.1563072833049943	-0.2224529795855181	0.227151787286039	0.1633361951231067	0.1314432834863604	-0.1363109522232224	-0.1339576850256549	-0.1619944269648013	-0.788829187328423	0.1357336635205826	0.5192747763456583	0.0039395864077727	0.2132004478193501	-0.1896669842343387	0.2717435822234994	0.1360543426818341	0.1721162832253308	-0.1173742957450147	-0.1467390252303049	-0.1968138339316352	-0.858659692919583	-0.1766837186063151	0.5157303641003778	0.0532509646586862	0.2116434880091234	-0.2231446790706483	0.2784428107498763	0.1873784740777245	0.1490683737320582	-0.1807918712705006	-0.1117108966986674	0.9182184945227498	0.9137296704916956	0.0461708650756105	0.0502830920429326	0.4843019833706238	0.0468157819683289	4.346972566188825	1.3205426383354637
AGBsV0340000000X1	-0.2304364035558666	-0.118916511995512	0.0693046386102712	0.0338917332475729	0.0274436327408733	0.3007878254653724	0.1092571669450629	0.0221366547713506	0.0370659163427321	0.0615194388226672	-0.007980255530797	0.0814047414414235	0.0120765518810202	0.0668122309181166	0.3576271466128411	0.1011498174241979	-0.0045940350059496	0.0818630962606473	-0.0747676957075357	0.0779827968163732	0.0833566051695489	0.0077032456948627	0.1347213738543867	-0.0281881419964588	0.1101880089472806	0.3965038979383559	0.102322124478087	0.0359864481597455	0.0708343858531802	0.0906653495151342	-0.06039960977929	0.0858454847813906	0.0320713237334928	0.1259239413331227	-0.055451553575287	0.0860259253553494	0.4436106890345717	0.125327224182889	0.0482453524795869	0.0724467034036227	0.1161727756807406	-0.0431211425950158	0.122465838728293	0.0055467476272529	0.1822762246024249	-0.043892433124615	0.1388631709923377	-0.0916423509247672	0.5065671386443922	0.1377888502929276	0.0232311162603237	0.0627183234551558	0.1182995770785228	-0.0051483484795211	0.1182960455318868	0.0008025995915831	0.138309008935104	-0.0317596318826217	0.1054589798043256	-0.0837261225675971	0.5333926102777482	0.1465653755080792	0.0316798553504693	0.0714254933378596	0.0962476778704939	-0.0391430754404865	0.0982625543520755	0.0265862178946295	0.1488437921963078	-0.040161559446819	0.1246984005881047	-0.0959384182568231	0.5661925125720603	0.14831437394834	0.0399137397517907	0.0844474512674568	0.1216544712893872	0.0349433242454642	0.1128530116537531	0.0179008498477461	0.1521727367179901	-0.0359168495269651	0.1048852668020311	-0.0479602172881213	0.5721712807970224	0.1519699161587452	-0.0519292576767173	0.1105235119344683	0.1276421947822053	-0.0800754810589913	0.1201702219491827	0.0471965272154877	0.1880688464907237	-0.0352003346947025	0.1301255961537182	-0.0705260597906397	0.6188309023471997	0.1539929383261679	0.0449985935828142	0.1159763519289076	0.0892643464521426	-0.0672959535794946	0.1074082956472391	0.0387371576577637	0.1727099740537293	-0.0409548411148681	0.1325083394361091	-0.1105650266388692	1.0180201254974175	0.990685153403345	0.1954730063876971	0.1920129096585262	1.417068789850383	0.2157105561522379	0.6869767396105493	0.6849489848781718
AHISh0420100000X1	0.2339525801673919	0.1200106942113315	-0.0120465696121408	-0.1126069533299329	0.0024979652009849	-0.3163074102640005	-0.1135660627298516	0.1940303144603006	-0.1589653827656629	-0.0188602052249836	-0.0705640772031838	0.0574581584762153	0.0034480285418677	-0.0246652705611178	-0.3713382730173405	-0.0660160914721444	0.2518761648115617	-0.1782621098967836	-0.0318558013874451	0.126354097069251	0.0612484339590192	0.0050696875470541	-0.0734666137781644	0.0253725107964127	0.0286580940894636	-0.4001378905613808	-0.0125108439910036	-0.2964994990015779	-0.1838164170324384	-0.0045575465293136	-0.1044572144533843	0.1316588855126729	0.0138408582230878	-0.0671069113463051	0.0405128294880957	0.0070449321632213	-0.4031430384941905	-0.0620800807188227	-0.3401091367845443	-0.1804338824366633	-0.0043881003634652	-0.1182937422413357	0.1463558224124442	0.0031912449921555	-0.0802722377699559	0.0481851718076473	0.022859208221321	-0.0837569624053897	-0.465783788738608	-0.0900881448966658	-0.3765632506048335	-0.2060576125907645	0.0338210800604818	-0.1563082806552513	0.1389462432560383	0.0035731567934818	-0.1024748736659486	0.054908011712339	0.0261008500424726	-0.0732526850033214	-0.4952704413195664	-0.0519838839560489	-0.4004240436491589	-0.2340190082650075	-0.002440594993773	-0.155015335633884	0.1791091087944489	0.0062894615454644	-0.1116383518669772	0.0718751376886406	0.0255142201025767	-0.0872938719795826	-0.5178742565570695	-0.0608792273972095	-0.4181813938045211	-0.2617091577656769	0.0176109382221163	0.1557358600798463	0.1909956071821805	0.0134938141942289	-0.1183250487319004	0.0416881436847722	0.0401972789137115	-0.0907204476721813	-0.5461851962702229	-0.1295089925328546	0.443791335013449	-0.2676705471636415	0.0383582265014759	-0.1862226037560206	0.1661350768886158	0.0129076224977577	-0.1301289982981311	0.0622661612069341	0.0548974897817065	-0.0985464497894459	-0.5805380008578743	-0.1107402636954192	-0.4624093554202237	-0.2915412749964929	0.027911119453211	-0.1932542650359804	0.1779532537179977	0.0269624650939002	-0.1332479887475364	0.083348778459131	0.0333804417267825	-0.1048562109956977	0.8824555128786522	0.8529878743243181	0.0909542382819518	0.1030694884382903	0.8350507158111861	0.076327522608435	6.316722841177967	2.2130520884432463
AHKJY0760100000X1	-0.3750897503561927	-0.0268319771905998	-0.0428917452216608	-0.0192235441975287	0.0586951563211371	0.4316299375600124	-0.0774453491425921	-0.0449242475823661	-0.0122951231636327	-0.0060386179942881	0.1049359101912226	0.0510768393966699	-0.0195019977038979	-0.004136259318833	0.4483046966020114	-0.1336532635085367	-0.047117827085785	-0.0303971436443793	-0.0281179171230668	-0.1106828136872922	0.094077934484937	-0.0268475648850403	-0.0191293327106186	-0.0304542376268654	0.0059206400282247	0.5094143830368214	-0.1743344409683811	0.0362578065625007	-0.0142506676689018	-0.0011815000452874	0.1713633596001124	0.0937033993822907	-0.0238637440480063	-0.0139527396127387	-0.0170259214939741	0.0100163032035788	0.5323987525022896	-0.2185487599823238	0.0833668944520932	-0.0208243194234212	0.0044224502280661	0.1622891814619453	0.079564774501905	-0.0189009619382709	-0.0146263187712715	-0.026195757648843	0.0121638709785457	0.0393200241155335	0.6072387043803416	-0.1943063166047244	0.0635794993594951	-0.0130402412266309	0.0170290324522554	0.1883302623736979	0.1012541282018413	-0.0345433807812787	-0.0082038221051144	-0.0217933588617613	0.0055826332561358	0.031190985658848	0.6287795183592768	-0.2565540210924286	0.0805497439974428	-0.0232217219135184	0.0154602325298596	0.202965849807962	0.0932323115731454	-0.030165299607668	-0.0135627236406745	-0.03366826124871	0.0003874166295088	0.0245275002927291	0.6752978068585048	-0.2597160323676393	0.0848045827320858	-0.0191616204714119	0.0109319187658794	-0.2204634382321602	0.1050661562014174	-0.0207244715300699	-0.0259144538375453	-0.0557125144148902	-0.0041533401268439	0.0401885304506661	0.7095595269217904	-0.2589851151852471	-0.1195368737422154	-0.0314650898671216	-0.0050315698459352	0.1968375885218318	0.1308645761054468	-0.0352701937342421	-0.0305775520329863	-0.055253629333383	0.0072699312400675	0.0443249834589504	0.7529604406350889	-0.2926742095489614	0.1266581183935561	-0.0402514609323076	-0.0022608518076002	0.2163770773263405	0.1313901750184968	-0.0535669820309666	-0.0139607951417403	-0.0349155371785227	0.0089338233766201	0.034342915994651	1.0297886540768526	0.9958857899084405	0.1284486116918103	0.1247329839800548	1.098683102432321	0.1484523897406497	3.043559176573194	1.4614482227134862
aMBZv0210100000X1	0.1950531777830711	0.1039568095092692	0.1190120607546069	-0.1007885153248051	-0.0042736483421907	-0.3253205340740913	-0.0569202969437071	0.3432958223190237	-0.145208098403113	0.0352935665954766	-0.1344844102130435	0.0711109683124487	-0.1652022521448789	-0.0988122421975602	-0.3348250596780432	0.0386565268154543	0.4130701988145203	-0.1415783873091158	-0.0787636741096625	0.1828526627691265	0.0467618463961395	-0.1560703325602969	-0.0978942844739598	0.0312468030206766	0.1411060673771845	-0.3034521382395935	0.1237527583076336	-0.4728258368748491	-0.1250514559273243	0.0744837356395362	-0.1401737558340629	0.1352269658094468	-0.196294848128141	-0.0756798096469379	0.0466283501896258	0.1577524369340492	-0.3365372199460746	0.0762573563992893	-0.5420177313657256	-0.152098240655415	0.090830234916992	-0.1475502804741436	0.1432118364699608	-0.208803490106955	-0.1157256172497133	0.0230421478158581	0.1859382006574172	0.0119587529576707	-0.3964024258437525	0.0446342442978287	-0.6025319603262028	-0.1553776291272878	0.1348225358161614	-0.1953235798546524	0.1445366569398256	-0.2325554906123525	-0.118534406234322	0.0324541403568289	0.192542814916644	0.0115046061680469	-0.3844577553409055	0.1134819720939552	-0.6285494286071303	-0.1829012922166057	0.101132560994464	-0.2175599519709779	0.1797287011031598	-0.2495607712942585	-0.143459855979755	0.0883166355783779	0.2123758916811844	0.000744800330171	-0.3969225293505589	0.1316812169392882	-0.6507479282830069	-0.223952861502165	0.1251073770774287	0.2065232208811253	0.1862418819232137	-0.2444318895388608	-0.1531064677299367	0.051402442320019	0.2408762032473117	0.0293230743303084	-0.5058004758957375	0.0116803705398507	0.7320379970782993	-0.2271328456642515	0.1779466531202148	-0.2713079615550698	0.143935776910296	-0.2784986547424111	-0.160532574282588	-0.0067439985167082	0.2599388462325354	0.0394245729743389	-0.4733490611070267	0.0813225444529361	-0.7430476027901005	-0.2406951339878728	0.1493402717099539	-0.2657675981995397	0.1667580621974514	-0.3054819466997673	-0.1571830975024609	0.0539391266167982	0.2467529444246591	-0.0402709335293531	0.9017344955053712	0.8531876471551052	0.141598101445405	0.1570285956134431	0.7684118964338514	0.0484029811187953	4.748999196755561	2.3595025389919786
arzcV0850000000X1	-0.4335145717209244	-0.3358124103283031	0.1323745532124361	-0.0473605013180974	0.3361207865379202	0.6229289584202364	0.3617711446587006	0.1529136088549895	-0.1814729709604487	0.1818403868449911	0.3272172840832115	0.1184051912614932	-0.0013778004460609	-0.0682346072877204	0.8034076472448124	0.245649184088899	0.1113345520248966	-0.2156323372519709	-0.3627509660440224	-0.2805757981838472	0.0708905565015005	0.0448426307389707	-0.0395143432173326	-0.028952810392821	0.0028393848963144	0.927167472570612	0.313159866809062	-0.0485529609261406	-0.3216285873072725	0.3162005863224691	0.4101848242949912	0.0892756185399526	0.0738215293338177	-0.076708187564128	-0.0444790318522892	0.0257585250157809	0.9718223103487078	0.3028110177101951	-0.0466881689299665	-0.3843724723261542	0.3499235544067108	0.4207492056465828	0.0839077418262585	0.0904608844607225	-0.0631956638707315	-0.0379510394638651	0.0233801883139107	0.0606305655271358	1.0797167581814004	0.3080919664185833	-0.0875027823879214	-0.3516453476212411	0.4000161470396316	0.4662671818545504	0.1184196591691025	0.0695784773967359	-0.0856308725486703	-0.067076890627301	0.0060290576392223	0.0586469204612556	1.1921846907855278	0.3407020129106987	-0.0343338865093321	-0.4198131783031694	0.4431816920300356	0.478547929605403	0.091831047509163	0.0651319704254005	-0.0659582714229279	-0.0275986225237802	0.0298703007877415	0.0563579628864684	1.2597886423697973	0.3655709851895257	-0.0258043587710674	-0.4248395074864953	0.4035926279687074	-0.5375999757898478	0.0995440825020677	0.1089170858581961	-0.0836360166275287	-0.0539148790839552	0.0277575076678297	0.0864414754548605	1.317444175607403	0.4207099369760911	0.1067597672726323	-0.4254118784453617	0.4690156017886586	0.6135360591721126	0.1692541419367237	0.0712835846664324	-0.0932983270426682	-0.0537913948268651	0.0225547557940464	0.065483718523572	1.411902245259176	0.4381073337496113	-0.0825318084755862	-0.449624581267451	0.4651633077415124	0.6245402307727	0.1735245266296587	0.0676886985120997	-0.0987888835080754	-0.0607521581765949	0.0288788461802819	0.0553023093062841	1.11481140499074	1.107356287892223	0.1300630310087705	0.116668191970866	1.1912922442775074	0.1505888771499453	2.618601158516593	0.9051399049939346
AsGoC0720000000X1	-0.1850249258316607	0.1640330905077277	-0.0937477189393933	-0.016612352023495	-0.0460703787907915	0.1440844236744834	-0.235787466565597	-0.0590788100102566	-0.0135897094228465	-0.0340699498625626	-0.0269945680099474	-0.0213225503857516	0.0104241679834375	-7.571956049804418e-05	0.0708189674288531	-0.2767432511527593	-0.0392392946298778	0.0171902397482004	0.0594444456996584	0.0148839512178955	-0.002488590201573	-0.0032132443367197	0.0091923947068898	-0.0144864494197232	-0.0115277277709101	0.0914745421755215	-0.3208219343136004	-0.0040449958204807	0.0426037573396287	-0.0628013477937634	-0.0139733056538288	-0.0015876711633806	0.006188088508726	-0.0012929858404998	-0.020997706449138	-0.0066700881842849	0.0947996517339802	-0.3491413403200673	0.019323526467925	0.0421942014605664	-0.0597615007632127	-0.0375052904297441	-0.0260620134834709	-0.0044284634977673	0.0161773280599161	-0.017657830189125	-0.0145087154929536	0.0016152919448705	0.0911524596603005	-0.3772822477541032	0.0282961226232626	0.0563384895876229	-0.0790805308461181	-0.0298135341600545	-0.0086476013759368	0.0127761115900102	0.0053323687780151	-0.017416851581098	-0.015476233855004	-0.0020214241437465	0.0993170183566892	-0.4200046233720265	0.0179146562798941	0.0462016104454877	-0.0848527456062717	-0.0265781725352867	-0.0048288415018538	-0.0045171794641315	-0.0009542774156102	-0.0321564469094686	0.0009817387277948	0.0191706290083966	0.1149162157885553	-0.4385906277953154	0.0094209206032623	0.0456099839118504	-0.0731225966954845	0.0407852629728616	-0.012774367624525	0.0025046539500134	0.0122773616785218	-0.0155601967630024	-0.0176219329637545	-0.011004271037754	0.1265971664619872	-0.4703693607331605	-0.0652608157759524	0.0592173970121463	-0.0947383606439125	-0.0366789867546787	-0.0149274663226084	0.0050909379192589	0.0113129350081074	-0.0295637069132561	-0.0230236416524674	-0.0042984108809341	0.1111244671784703	-0.5138846065622421	0.0691321086898904	0.0311196279275402	-0.0911629385255456	-0.0398967302938362	-0.0133268841779428	0.006082870721566	0.0059498559111794	-0.0373523181096858	-0.0272256276858579	0.0008428063123939	0.9548840005778064	0.9409343015996572	0.1102688370446345	0.1154787775037702	1.0679160031145298	0.1172043214538161	5.830935577630051	1.6742501529076943
AUZET0630100000X1	-0.5466196672792826	-0.297979631186422	-0.444981292350137	-0.0905881295646768	-0.1010829690885784	0.5963652561800917	0.0608811911472337	-0.3482450465026581	-0.4704713683727037	-0.0147953816692075	-0.2910934112701336	-0.1468289851279548	-0.0468485328054263	0.0807907204073336	0.5346922965290847	-0.2876913416506775	-0.4517935447335926	-0.4889265835483613	0.0310977337173327	0.2813814254718462	-0.1712649705821337	-0.0777235887895774	0.0654596881971523	-0.0708305478608675	-0.101720247330844	0.5799688589320783	-0.4072396051156843	0.4372628968185819	-0.5399251384399743	-0.0035286136985103	-0.3703548781742617	-0.1372716599690885	-0.1447902120954359	0.0790039168941581	-0.0894471092971631	-0.1260539113785756	0.6112338755316808	-0.403592017354863	0.5161127871287131	-0.5956223247336827	-0.0117167627426145	-0.4443170029182674	-0.1847378208082252	-0.1191672380125428	0.0739425948709315	-0.0731789702967793	-0.1335898078535078	-0.0925094061520066	0.6992046080099136	-0.488934407809054	0.5825660762079594	-0.6298942995436433	-0.0032697710587853	-0.4570072493202035	-0.19312593674408	-0.1502022907069763	0.0962725438126559	-0.1084190328215129	-0.1500198569313248	-0.0794062128281875	0.7158208779169049	-0.5393255486161156	0.6256392492700522	-0.6861835593556228	-0.0156570068205717	-0.5022392702428297	-0.1931632083050149	-0.1589086580152407	0.0907122235809316	-0.1158177382607438	-0.1574454436567547	-0.0967725226791526	0.7723353395886369	-0.5305324724512739	0.6902505686850927	-0.751353837728214	0.0120640462979392	0.4985900943626563	-0.2016162928740114	-0.1680468172096321	0.1043517885582431	-0.082987281967796	-0.1775625819564062	-0.1340333057865714	0.84388982995772	-0.4810267809515899	-0.7451181248747527	-0.8106256541499277	0.0356745828959885	-0.5385048710954362	-0.2753957939480766	-0.1514621865267441	0.1526301318961112	-0.0517659915510387	-0.1946291158814985	-0.1496812570552655	0.8568072010970305	-0.4964969018838352	0.7908001517114438	-0.8810491557166705	0.0190760152199153	-0.5491536569232154	-0.2788945791819729	-0.150749186392868	0.141413497087979	-0.0831717607345831	-0.2249293602879931	-0.1196270616325824	1.0366752365443574	1.0298198966829992	0.055850242440296	0.0538743865691889	0.5318966230872155	0.0545143926575228	3.0098532097144868	1.0077009362068428
AwYdF0570000000X1	-0.0590648802056482	0.5798420260228931	0.0370029918636769	0.0619758034369831	-0.0148004718365253	-0.0732025762032204	-0.5129517924787637	0.0918282189457047	0.1472896675523195	0.0986099898593706	0.0520960612092332	-0.1091878552361568	0.0789688756049342	0.0807350346169583	-0.1864596752768846	-0.4631000157159002	0.1437204503855269	0.2908284901794674	-0.0083281597006781	-0.0742006921803032	-0.0785724035014409	0.0683807026850369	0.0680680557133667	0.0294098648468864	-0.0458849335169906	-0.2195202630883852	-0.4410227229202296	-0.2555067761348288	0.2853135667288321	0.0799061940542049	0.0694974485077726	-0.154336897612037	0.0965129059492267	0.0884084490960075	0.0355483754457122	-0.0761842058970096	-0.232115027341782	-0.5029399467555968	-0.2425247373235132	0.3195822723634566	0.0761042778972579	0.0763548929496498	-0.1529946139966133	0.0989083035011708	0.0898709367509324	0.0500727969857096	-0.0759594793936766	-0.0441224890420365	-0.2656243944542357	-0.5411467485595293	-0.2394504796649857	0.3855119352881065	0.0562896327500263	0.0929449443841607	-0.1693330198144444	0.1035025809878379	0.0948545373431433	0.0427632253329604	-0.0707676097139322	-0.0398960046102916	-0.2878952132879294	-0.5789229570443639	-0.3094712170896795	0.3872775201463524	0.070762555733613	0.0829455299714922	-0.1802520532474073	0.1094370192242613	0.1145715156939278	0.0381602905567046	-0.0852450723503612	-0.048828380064015	-0.3045958887984613	-0.6477801240891747	-0.3177982141385144	0.4057423549149628	0.0805763352437158	-0.0880417145151268	-0.1928563359939102	0.1253466808278704	0.1096572979113832	0.0555949596148456	-0.0757916331229116	-0.0515938220704694	-0.2986139818216495	-0.7270201241302877	0.2718914361672474	0.4566714932632804	0.0650154629583747	0.1206897998876562	-0.1964669469297678	0.1468883272093643	0.1085581895614798	0.0749762680099316	-0.0731125906970804	-0.0574495050405157	-0.3392939526523653	-0.7782089601887068	-0.3226668129613481	0.4451914991583164	0.1137374296093886	0.1160468447486959	-0.2184975567827374	0.145758915313555	0.1265706446661854	0.0518778305145776	-0.0939532707289259	-0.0301451961788677	0.9034592390739876	0.9027707802360164	0.0426787214469736	0.0472392329406224	0.3897049361681102	0.0544635862035718	0.6554540188705635	0.0983960430172204
aXVIm0370100000X1	-0.0171722503947716	0.6125609255788738	0.0958538541405928	0.0667319771098499	0.0194523548234956	-0.1685259832320427	-0.4345649257478818	0.2453353548562051	0.051571938511846	0.2282217388571111	0.0121146322950897	-0.1767933811384122	0.0511986137138674	0.1099947252397184	-0.2537121942038853	-0.4248551634542463	0.2895118964330449	0.256443172656624	-0.148806406576498	-0.0139597911848848	-0.2109073904488744	0.0122892952890615	0.109973979571219	0.000402112747894	-0.0621650780346176	-0.2888092059543654	-0.3313083865474643	-0.417167364437004	0.1871776178063253	0.2540176965026207	-0.001815819141346	-0.2567486765717083	0.0190954794213436	0.1232425617344296	-0.0020380077785111	-0.0826369125303007	-0.3135626378058882	-0.3998813405801421	-0.4483891686871168	0.2213860585567781	0.2846804734083316	-0.0052633453495643	-0.3049354625185632	0.0134530451430724	0.1371329017577188	0.0075208701046979	-0.0929824491986457	0.002757628551648	-0.3400674214316619	-0.4499997121895026	-0.4441290558437032	0.3033281554049675	0.2732022601999239	0.0301995663063962	-0.3197307399447813	0.0150157262671119	0.1668935145253148	0.0002052802045587	-0.1005305485185536	-0.003609100181183	-0.3684043761743128	-0.4683739649755302	-0.5386631140066732	0.2884240520327574	0.3207620413357722	-0.0273581638568854	-0.3503533091123492	0.0102014151342939	0.1693482829439883	-0.0169724563709973	-0.0977313828340266	0.0008360854318128	-0.404639523383749	-0.4979362216957286	-0.5644855147492853	0.2494868766235919	0.3648219833098152	0.0146691144390264	-0.3898253983509566	0.0159700493561338	0.1732891107925549	0.0027254726256636	-0.1088892136478511	0.0035116249544113	-0.392878429583741	-0.6301365661245648	0.5157010778643139	0.3542541599489121	0.3384621460747001	0.0551345239520665	-0.4034203944838083	0.0581046799021699	0.2034694946473721	0.0353416315175821	-0.1207459216473592	-0.0013952772539722	-0.4275686511819055	-0.6290648040525841	-0.5800580638368249	0.2941230339371439	0.4026205354539338	0.0278407359195838	-0.4148818889286618	0.0348296997236094	0.1917678499115743	-0.0087347132097968	-0.105614794586257	0.0225987180911225	0.8956460120247574	0.887864626065688	0.0564405308953052	0.0630165602677245	0.5924161140140818	0.0444745883201618	14.804017156008792	3.064440081370128
